19910514,107.21,107.84,107.06,107.19,267,185000.00
19910515,106.56,106.60,106.42,106.57,390,307000.00
19910516,105.83,105.86,105.69,105.77,3108,1445000.00
19910517,105.12,106.75,104.96,106.75,20192,7633000.00
19910520,107.76,107.82,106.71,107.82,863,924000.00
19910521,108.89,108.89,108.62,108.81,771,1309000.00
19910522,109.71,109.82,108.11,108.25,18677,7967000.00
19910523,107.52,109.16,107.35,109.08,5609,2770000.00
19910524,110.07,110.08,109.82,110.08,1024,661000.00
19910527,111.05,111.07,109.47,110.66,8619,3827000.00
19910528,111.61,111.68,111.36,111.68,1630,970000.00
19910529,112.75,112.75,111.67,112.75,530,1320000.00
19910530,113.74,113.82,112.77,113.82,388,753000.00
19910531,114.83,114.83,113.84,114.83,1211,1470000.00
19910603,115.90,115.97,114.89,115.97,954,1643000.00
19910604,117.12,117.12,116.83,117.12,3603,2018000.00
19910605,118.17,118.17,117.14,118.17,308,279000.00
19910606,119.26,119.33,118.17,119.35,266,160000.00
19910607,120.46,120.47,119.35,120.47,100,83000.00
19910610,121.65,121.67,120.47,121.67,400,458000.00
19910611,122.89,122.89,121.67,122.89,543,375000.00
19910612,123.90,124.11,122.89,124.11,1372,735000.00
19910613,125.33,125.34,123.65,125.34,20868,11563000.00
19910614,124.47,126.34,124.47,124.53,6633,3541000.00
19910617,125.63,125.77,123.54,125.77,6933,4056000.00
19910618,127.03,127.03,126.67,127.03,2030,1015000.00
19910619,128.12,128.29,127.03,128.29,1481,744000.00
19910620,129.55,129.57,129.21,129.57,2299,1321000.00
19910621,130.72,130.86,128.81,130.86,13613,7746000.00
19910624,132.10,132.17,131.80,132.17,1960,1657000.00
19910625,133.48,133.49,132.17,133.49,1624,1296000.00
19910626,134.83,134.83,133.49,134.83,3409,2149000.00
19910627,136.04,136.19,134.83,136.19,4497,2521000.00
19910628,137.41,137.56,136.19,137.56,4935,3032000.00
19910701,136.64,138.62,136.56,136.85,22940,12469000.00
19910702,135.91,135.96,135.69,135.96,2838,3794000.00
19910703,135.28,135.96,134.98,135.27,2715,1818000.00
19910704,136.63,136.63,134.19,136.63,13394,8095000.00
19910705,136.01,137.68,135.90,135.96,14540,9394000.00
19910708,135.26,135.28,134.93,135.28,5874,2925000.00
19910709,136.56,136.57,134.31,134.64,8442,4174000.00
19910710,134.40,135.60,133.72,133.99,6023,2894000.00
19910711,133.22,133.99,133.13,133.38,5073,2417000.00
19910712,132.80,133.38,132.42,132.80,3144,1484000.00
19910715,133.90,134.10,131.87,133.14,11938,5534000.00
19910716,134.39,134.47,133.14,134.47,2796,1328000.00
19910717,135.81,135.81,135.39,135.81,660,397000.00
19910718,137.17,137.17,135.81,137.17,847,464000.00
19910719,137.66,138.54,136.66,136.70,10823,5242000.00
19910722,138.07,138.07,136.70,138.07,2764,1423000.00
19910723,139.35,139.39,138.07,139.39,7241,3548000.00
19910724,140.66,140.74,138.69,140.68,5988,2901000.00
19910725,140.20,141.01,139.99,140.19,8390,4080000.00
19910726,140.11,141.46,139.27,140.66,9279,4520000.00
19910729,141.22,141.72,140.81,141.52,4771,2350000.00
19910730,142.39,142.45,141.39,142.39,5601,2718000.00
19910731,143.72,143.80,142.39,143.80,4051,1993000.00
19910801,145.12,145.24,143.80,145.24,4731,2310000.00
19910802,146.49,146.68,145.44,146.68,11744,5825000.00
19910805,148.06,148.15,146.68,148.15,5126,2593000.00
19910806,149.62,149.62,148.15,149.62,2001,1065000.00
19910807,150.93,151.12,149.62,151.12,1107,580000.00
19910808,152.57,152.61,151.12,152.61,1951,1045000.00
19910809,153.90,154.10,152.61,154.10,3715,1990000.00
19910812,155.34,155.54,154.10,155.54,3919,2154000.00
19910813,156.87,157.07,155.54,157.07,20039,10529000.00
19910814,158.30,158.63,158.11,158.63,5480,2929000.00
19910815,159.92,160.21,158.63,160.21,1537,850000.00
19910816,161.56,161.60,160.21,161.60,984,581000.00
19910819,163.21,163.21,161.60,163.21,985,614000.00
19910820,164.74,164.84,163.21,164.84,573,388000.00
19910821,166.49,166.49,164.84,166.49,3411,2106000.00
19910822,167.81,168.16,166.49,168.16,1296,845000.00
19910823,169.81,169.81,168.16,169.81,605,502000.00
19910826,171.51,171.51,169.81,171.51,643,518000.00
19910827,173.06,173.19,171.51,173.19,796,520000.00
19910828,174.82,174.92,173.19,174.92,804,511000.00
19910829,176.53,176.66,174.92,176.66,2608,1629000.00
19910830,178.20,178.43,176.66,178.43,6759,4219000.00
19910902,180.08,180.22,178.43,180.22,1408,886000.00
19910903,181.71,181.97,180.22,181.97,1475,940000.00
19910904,183.66,183.69,181.97,183.69,650,470000.00
19910905,185.48,185.51,183.69,185.51,1514,1095000.00
19910906,187.09,187.36,185.51,187.36,2765,1761000.00
19910909,189.10,189.24,187.36,189.24,3552,2349000.00
19910910,190.98,190.98,188.19,188.33,33434,21507000.00
19910911,187.29,187.29,186.86,187.22,21392,14677000.00
19910912,186.22,187.40,186.07,186.22,19699,16265000.00
19910913,188.00,188.04,185.01,187.79,37434,24035000.00
19910916,189.55,189.66,187.79,189.66,9933,6343000.00
19910917,191.16,191.18,188.28,188.65,28829,18623000.00
19910918,187.26,188.59,187.18,187.63,15822,11015000.00
19910919,187.65,189.21,186.49,186.88,23439,14607000.00
19910920,185.77,187.21,185.66,185.92,12075,7417000.00
19910923,185.00,185.92,184.71,185.00,4034,2806000.00
19910924,183.96,185.04,183.69,184.08,1426,1002000.00
19910925,182.80,184.08,182.80,183.19,1389,934000.00
19910926,182.21,183.19,181.93,182.33,6541,4620000.00
19910927,183.12,183.89,181.19,181.82,33728,20416000.00
19910930,180.28,181.95,180.27,180.92,25594,22336000.00
19911003,181.55,182.48,179.80,182.48,18741,12329000.00
19911004,184.29,184.29,183.59,184.29,7360,5039000.00
19911007,185.95,186.00,185.41,186.00,11369,7291000.00
19911008,187.59,187.61,186.00,187.49,23745,15241000.00
19911009,188.49,189.12,186.31,189.12,20989,13440000.00
19911010,190.71,191.01,189.12,191.01,6638,4333000.00
19911011,192.84,192.88,191.01,192.85,10981,7251000.00
19911014,194.06,194.69,192.32,194.67,21493,13948000.00
19911015,196.58,196.61,194.67,196.61,11002,7265000.00
19911016,198.51,198.57,196.61,198.57,9562,6273000.00
19911017,200.50,200.51,198.57,200.51,6077,4136000.00
19911018,202.50,202.51,200.51,202.51,2968,2384000.00
19911021,204.53,204.53,202.51,204.53,3537,2514000.00
19911022,206.06,206.53,204.53,206.53,2128,1521000.00
19911023,208.06,208.25,206.53,208.25,2623,1980000.00
19911024,210.20,210.20,208.25,210.07,19357,13174000.00
19911025,210.34,211.97,209.71,211.86,32650,22263000.00
19911028,213.50,213.98,211.86,213.98,3217,2357000.00
19911029,215.63,215.78,213.98,215.78,2697,2069000.00
19911030,216.37,216.43,215.78,216.43,2380,1814000.00
19911031,218.59,218.60,216.43,218.60,3929,2914000.00
19911101,220.71,220.72,218.60,220.72,5906,4313000.00
19911104,222.77,222.77,220.79,222.77,4474,3352000.00
19911105,224.44,224.65,222.77,224.65,2805,2225000.00
19911106,226.83,226.88,224.65,226.88,2848,2188000.00
19911107,228.93,228.93,226.88,228.93,4833,4085000.00
19911108,230.99,231.22,228.93,231.22,14406,11039000.00
19911111,233.48,233.55,231.22,233.55,2474,2130000.00
19911112,235.75,235.80,233.55,235.80,895,914000.00
19911113,236.51,236.67,235.80,236.67,799,879000.00
19911114,237.39,237.45,236.67,237.45,862,940000.00
19911115,238.25,238.25,237.45,238.25,2058,1914000.00
19911118,240.04,240.62,238.25,240.62,1885,1534000.00
19911119,242.24,242.24,240.62,242.24,2310,2040000.00
19911120,244.50,244.50,242.24,244.50,2325,1929000.00
19911121,246.26,246.31,244.50,246.31,2155,2030000.00
19911122,248.24,248.53,246.31,248.53,2133,1954000.00
19911125,250.84,250.85,248.53,250.85,2331,1963000.00
19911126,252.90,252.97,250.85,252.97,2454,2326000.00
19911127,255.27,255.45,252.97,255.45,2120,1756000.00
19911128,257.28,257.35,255.45,257.35,2502,2251000.00
19911129,259.68,259.85,257.35,259.60,33695,28453000.00
19911202,261.78,262.19,259.67,262.19,19128,16310000.00
19911203,264.64,264.81,262.19,264.81,1101,1207000.00
19911204,265.53,265.77,264.81,265.77,742,903000.00
19911205,266.48,266.66,265.77,266.66,2050,2100000.00
19911206,269.34,269.35,266.66,269.35,1613,1798000.00
19911209,270.27,270.27,269.35,270.27,1631,1648000.00
19911210,270.27,272.91,270.27,272.91,516,665000.00
19911211,273.53,273.71,272.91,273.71,669,859000.00
19911212,274.41,274.41,273.71,274.41,1577,1644000.00
19911213,276.81,277.00,274.41,277.00,746,962000.00
19911216,277.53,277.85,277.00,277.85,580,817000.00
19911217,278.67,278.68,277.85,278.68,493,754000.00
19911218,279.32,279.51,278.68,279.51,760,893000.00
19911219,279.98,280.17,279.51,280.17,1094,1242000.00
19911220,282.83,282.83,280.63,282.83,4393,6268000.00
19911223,285.65,285.65,282.83,285.65,1046,1182000.00
19911224,285.74,286.22,285.65,286.22,486,593000.00
19911225,287.09,287.15,286.22,287.15,573,873000.00
19911226,288.03,288.03,287.15,288.03,1168,1422000.00
19911227,290.65,290.85,288.03,290.85,1551,1789000.00
19911230,291.71,291.71,290.85,291.71,1165,1881000.00
19911231,292.48,292.75,291.71,292.75,584,858000.00
19920102,293.74,293.75,292.76,293.75,928,1339000.00
19920103,296.24,296.52,293.75,296.52,1436,1842000.00
19920106,297.68,297.68,296.52,297.68,3400,4236000.00
19920107,298.54,298.77,297.68,298.77,892,1064000.00
19920108,299.65,299.66,298.77,299.66,659,930000.00
19920109,300.61,300.62,299.66,300.62,943,1244000.00
19920110,301.82,301.83,300.62,301.83,1605,2629000.00
19920113,302.83,303.06,302.00,303.06,725,1097000.00
19920114,304.77,305.74,303.06,305.74,632,858000.00
19920115,306.62,306.63,305.74,306.63,259,314000.00
19920116,306.85,306.85,306.63,306.85,378,488000.00
19920117,307.37,307.38,306.85,307.38,250,321000.00
19920120,307.38,307.39,307.38,307.39,445,502000.00
19920121,307.87,307.87,307.39,307.87,534,650000.00
19920122,307.95,307.95,307.87,307.95,312,439000.00
19920123,308.53,308.53,307.95,308.53,413,583000.00
19920124,309.05,309.05,308.53,309.05,722,1004000.00
19920127,311.60,311.61,309.05,311.61,562,750000.00
19920128,311.67,311.84,311.61,311.84,664,822000.00
19920129,312.41,312.58,311.84,312.42,401,450000.00
19920130,312.73,312.73,312.42,312.73,391,543000.00
19920131,313.24,313.24,312.73,313.24,354,586000.00
19920203,314.18,314.18,313.24,314.18,305,583000.00
19920207,314.72,314.72,314.18,314.72,327,527000.00
19920210,315.55,315.56,314.72,315.56,354,586000.00
19920211,316.12,316.43,315.56,316.43,296,460000.00
19920212,316.43,316.44,316.43,316.44,270,397000.00
19920213,317.24,317.57,317.06,317.04,1020,1680000.00
19920214,319.45,319.68,317.04,319.68,457,770000.00
19920217,319.77,319.77,319.68,319.77,6369,13782000.00
19920218,338.98,339.16,319.77,337.11,7407,12655000.00
19920219,340.50,342.41,337.11,342.41,9401,16501000.00
19920220,345.22,348.01,342.41,347.99,10341,20004000.00
19920221,358.91,359.93,347.99,359.59,11582,19254000.00
19920224,361.11,361.62,359.59,360.50,30157,18038000.00
19920225,359.66,361.29,357.07,360.37,4862,8037000.00
19920226,359.85,360.76,359.27,360.10,5753,8082000.00
19920227,361.00,363.03,360.10,362.45,9524,17931000.00
19920228,364.15,364.67,362.45,364.66,9862,26401000.00
19920302,365.15,365.39,364.66,365.39,3405,5644000.00
19920303,366.79,367.25,365.39,367.00,2989,3366000.00
19920304,367.56,368.28,366.95,368.32,5614,10360000.00
19920305,369.31,369.88,368.11,369.76,8360,14928000.00
19920306,370.79,371.76,369.76,371.76,5237,9958000.00
19920309,372.26,374.06,371.88,373.53,20968,22273000.00
19920310,374.48,375.23,373.53,375.23,5011,7452000.00
19920311,375.87,376.25,374.98,376.14,4001,11238000.00
19920312,377.55,377.57,376.14,376.92,10326,31594000.00
19920313,376.58,377.19,376.38,376.38,2527,4487000.00
19920316,377.00,377.42,376.38,377.05,2646,2265000.00
19920317,377.50,377.84,377.03,377.49,890,1340000.00
19920318,377.94,378.32,377.49,377.66,4028,2252000.00
19920319,377.26,377.96,376.21,377.31,13628,35111000.00
19920320,377.91,378.03,377.31,377.99,3160,7844000.00
19920323,378.61,379.04,377.45,378.89,10290,24375000.00
19920324,378.53,379.50,378.05,378.69,4378,7016000.00
19920325,378.33,379.02,378.12,378.12,11820,21445000.00
19920326,379.29,379.34,377.64,379.13,10225,24177000.00
19920327,379.65,380.79,379.13,380.77,1892,5469000.00
19920330,381.54,381.56,380.76,381.44,12655,40359000.00
19920331,381.87,382.06,381.24,381.24,17391,53853000.00
19920401,381.55,381.85,381.01,381.01,4065,7767000.00
19920402,381.47,381.58,381.01,381.12,1673,3193000.00
19920403,381.44,381.57,381.12,381.33,1700,3377000.00
19920406,381.97,382.08,381.33,381.47,5298,14543000.00
19920407,381.95,382.10,381.47,381.93,10613,30266000.00
19920408,382.53,382.59,381.92,382.43,1866,5277000.00
19920409,381.93,382.88,381.65,381.65,3168,7148000.00
19920410,381.52,382.04,381.20,382.03,7066,13499000.00
19920413,387.27,392.28,382.03,391.11,20593,52440000.00
19920414,393.10,400.61,391.10,400.61,9415,25184000.00
19920415,400.35,406.72,398.23,406.72,10566,25157000.00
19920416,404.07,410.61,403.52,410.55,39211,57466000.00
19920417,408.56,414.42,406.19,414.42,15678,45102000.00
19920420,417.19,420.99,413.64,413.85,10170,23206000.00
19920421,417.99,421.55,402.89,410.06,51257,72181000.00
19920422,400.12,410.06,399.87,399.88,50596,73539000.00
19920423,407.13,408.86,394.60,407.25,54718,71062000.00
19920424,405.88,415.05,397.74,414.40,34706,47646000.00
19920427,422.45,424.92,413.47,424.58,37257,53584000.00
19920428,434.90,436.31,424.58,436.09,42392,53950000.00
19920429,445.25,446.12,436.09,444.16,52899,66766000.00
19920430,435.73,448.94,433.66,445.38,45704,52587000.00
19920504,454.86,456.24,445.38,453.62,64362,101358000.00
19920505,447.42,455.36,439.96,449.21,49359,78293000.00
19920506,449.78,454.08,446.39,449.96,33687,54371000.00
19920507,452.86,457.05,449.55,454.65,34414,51743000.00
19920508,461.05,468.42,454.65,468.11,48634,84729000.00
19920511,483.29,490.19,468.11,491.50,30950,60650000.00
19920512,502.80,506.68,491.50,506.53,33278,65369000.00
19920513,505.27,517.86,499.40,514.04,33897,64664000.00
19920514,514.48,523.50,511.91,523.36,33010,60063000.00
19920515,529.39,544.56,523.36,544.35,63283,75109000.00
