20220505,1046,3065.12,3065.12,3063.14,3064.61,124178,1241785472.00
20220505,1047,3064.59,3066.70,3064.59,3066.46,126886,1268863488.00
20220505,1048,3066.86,3067.44,3066.52,3066.97,130205,1302059136.00
20220505,1049,3067.48,3067.48,3066.09,3066.54,131080,1310803200.00
20220505,1050,3067.49,3068.58,3067.49,3068.25,138181,1381816448.00
20220505,1051,3069.73,3073.35,3069.73,3072.93,235991,2359914240.00
20220505,1052,3072.61,3074.19,3072.59,3074.19,139341,1393413888.00
20220505,1053,3073.59,3073.59,3070.60,3070.60,137636,1376364800.00
20220505,1054,3070.40,3070.40,3068.90,3069.69,112811,1128113920.00
20220505,1055,3070.34,3070.99,3069.81,3070.99,100981,1009815360.00
20220505,1056,3070.29,3070.49,3069.59,3070.27,96872,968728576.00
20220505,1057,3070.41,3072.03,3070.28,3071.79,103755,1037550464.00
20220505,1058,3071.70,3072.06,3071.47,3071.94,108443,1084439424.00
20220505,1059,3071.55,3071.55,3067.87,3067.99,137272,1372729344.00
20220505,1100,3067.72,3068.33,3067.48,3068.33,93806,938068480.00
20220505,1101,3068.04,3069.16,3067.75,3069.16,105527,1055272704.00
20220505,1102,3069.17,3071.14,3068.95,3071.12,112860,1128609024.00
20220505,1103,3071.40,3072.55,3071.38,3071.89,123297,1232975232.00
20220505,1104,3072.31,3073.58,3071.93,3073.42,111256,1112560128.00
20220505,1105,3073.55,3073.55,3072.02,3072.02,110664,1106646528.00
20220505,1106,3072.31,3074.69,3072.31,3074.51,109906,1099067008.00
20220505,1107,3074.52,3075.28,3074.39,3074.66,115613,1156139904.00
20220505,1108,3074.81,3074.85,3073.36,3073.36,112366,1123667712.00
20220505,1109,3073.35,3074.86,3073.16,3074.48,95222,952228096.00
20220505,1110,3074.45,3076.27,3074.45,3076.23,101781,1017811264.00
20220505,1111,3076.01,3076.37,3075.49,3075.95,105415,1054152192.00
20220505,1112,3076.11,3078.63,3076.11,3078.56,119636,1196366464.00
20220505,1113,3078.66,3078.66,3077.59,3077.59,106300,1063001024.00
20220505,1114,3077.44,3078.32,3077.44,3078.32,104607,1046079488.00
20220505,1115,3078.05,3078.09,3075.34,3075.34,118666,1186669568.00
